Time	Dissipation Rate Incompressible	Dissipation Rate Compressible	Ekin incomp	Ekin comp	Enstrophy comp	DR_u	DR_S	DR_Sd	DR_p	Maximum Vorticity	Mean Temperature	uprime	Mean Entropy	ED_S	ED_D
0.11330053808557E+00001	 0.63976547285707E-00003	 0.10671721859006E-00003	 0.13285988950872E+00000	 0.12686638555851E+00000	 0.38539304783203E+00000	 0.60085842291423E-00003	 0.63976547285707E-00003	 0.61382743956182E-00003	 -.50711022097176E-00003	 0.20768527357226E+00001	 0.99804458560688E+00000	 0.29761259998945E+00000	 0.19998479176265E+00001	 0.57231711546886E-00003	 0.51852030930018E-00004
0.11732181900530E+00001	 0.64824928802068E-00003	 0.30997610308267E-00003	 0.13290377615560E+00000	 0.12685726201471E+00000	 0.39211451184688E+00000	 0.60785288650768E-00003	 0.64824928802068E-00003	 0.62131835367866E-00003	 -.31134225059599E-00003	 0.20110946210756E+00001	 0.99784508225981E+00000	 0.29766175004032E+00000	 0.19997879882861E+00001	 0.57810099202974E-00003	 0.53861662315873E-00004
0.12134576661918E+00001	 0.65706381768074E-00003	 0.43667894152024E-00003	 0.13292151283315E+00000	 0.12684148460260E+00000	 0.39900165612775E+00000	 0.61509207859859E-00003	 0.65706381768074E-00003	 0.62908265829261E-00003	 -.19240371677237E-00003	 0.19504640316312E+00001	 0.99764117749789E+00000	 0.29768161160671E+00000	 0.19997266912528E+00001	 0.58405157952081E-00003	 0.56009141567160E-00004
0.12537219904389E+00001	 0.66628669704405E-00003	 0.48991638959876E-00003	 0.13291697793475E+00000	 0.12682207555661E+00000	 0.40602471525782E+00000	 0.62261168073584E-00003	 0.66628669704405E-00003	 0.63717001950522E-00003	 -.14725362990646E-00003	 0.18944359930181E+00001	 0.99743574495517E+00000	 0.29767653354466E+00000	 0.19996639811846E+00001	 0.59015845812435E-00003	 0.58345538104444E-00004
0.12940093374834E+00001	 0.67598046133878E-00003	 0.47307137238726E-00003	 0.13289431614148E+00000	 0.12680192360296E+00000	 0.41314973275549E+00000	 0.63043813095495E-00003	 0.67598046133878E-00003	 0.64561890774952E-00003	 -.17254753536227E-00003	 0.18426592519409E+00001	 0.99723176511077E+00000	 0.29765115615597E+00000	 0.19995998233598E+00001	 0.59640565736281E-00003	 0.60910190369379E-00004
0.13343348643772E+00001	 0.68623055950197E-00003	 0.38836357489301E-00003	 0.13285776809241E+00000	 0.12678380077960E+00000	 0.42034282024183E+00000	 0.63860908764601E-00003	 0.68623055950197E-00003	 0.65448291159795E-00003	 -.26611933670494E-00003	 0.17948999613601E+00001	 0.99703210268792E+00000	 0.29761022394222E+00000	 0.19995341647864E+00001	 0.60277501464072E-00003	 0.63755783617150E-00004
0.13747056190303E+00001	 0.69716865818511E-00003	 0.23772334815445E-00003	 0.13281154080641E+00000	 0.12677041389402E+00000	 0.42756733241992E+00000	 0.64718357694185E-00003	 0.69716865818511E-00003	 0.66384527068950E-00003	 -.42612192253506E-00003	 0.17507338146701E+00001	 0.99683950299667E+00000	 0.29755844334226E+00000	 0.19994669688736E+00001	 0.60924346570451E-00003	 0.66967639937937E-00004
0.14151168190855E+00001	 0.70898577733546E-00003	 0.25111822839391E-00004	 0.13275966808105E+00000	 0.12676437185286E+00000	 0.43478517883439E+00000	 0.65624871217607E-00003	 0.70898577733546E-00003	 0.67382773389569E-00003	 -.64871591105630E-00003	 0.17098961647338E+00001	 0.99665647363925E+00000	 0.29750032838194E+00000	 0.19993982156932E+00001	 0.61578399312534E-00003	 0.70673620495638E-00004
0.14555821621470E+00001	 0.72194481507685E-00003	 -.24136593242161E-00003	 0.13270578466090E+00000	 0.12676805210029E+00000	 0.44196471672326E+00000	 0.66592902410239E-00003	 0.72194481507685E-00003	 0.68460095442711E-00003	 -.92596688684871E-00003	 0.16721766108697E+00001	 0.99648502827094E+00000	 0.29743994874137E+00000	 0.19993278411207E+00001	 0.62237273277934E-00003	 0.75049065854235E-00004
0.14961098184466E+00001	 0.73637941515388E-00003	 -.54799596175850E-00003	 0.13265295251126E+00000	 0.12678340938477E+00000	 0.44907912008428E+00000	 0.67638491936174E-00003	 0.73637941515388E-00003	 0.69638308462214E-00003	 -.12443790463806E-00002	 0.16373503064021E+00001	 0.99632672069912E+00000	 0.29738073521023E+00000	 0.19992557652692E+00001	 0.62898770876911E-00003	 0.80317291053468E-00004
